가	g a
갈망	g a L m a NG
갈무리	g a L m u r i
갈비	g a L pp i
갈비찜	g a L pp i jj i M
갈색	g a L ss e K
갈수록	g a L ss u r o K
갈아입	g a r a i P
갈아타	g a r a t a
갈증	g a L jj eu NG
갈지	g a L jj i
갈탄	g a L t a N
감	g a M
감가상각	g a M g a s a NG g a K
감각	g a M g a K
감개무량	g a M g e m u r y a NG
감격	g a M g y eo K
감경	g a M g y eo NG
감귤	g a M g y u L
감금	g a M g eu M
감기	g a M g i
감내	g a M n e
감당	g a M d a NG
감독	g a M d o K
감독원	g a M d o g w eo N
감돌	g a M d o L
감동	g a M d o NG
감리	g a M n i
감면	g a M m y eo N
감명	g a M m y eo NG
감명깊	g a M m y eo NG g i P
감방	g a M b a NG
감별사	g a M b y eo L s a
감봉	g a M b o NG
감사	g a M s a
감사원	g a M s a w eo N
감상	g a M s a NG
감성	g a M s eo NG
감세	g a M s e
감소	g a M s o
감수	g a M s u
감시	g a M s i
감시초	g a M s i ch o
감싸	g a M ss a
감안	g a m a N
감액	g a m e K
감염	g a M n y eo M
감염자	g a M n y eo M j a
감옥	g a m o K
감원	g a m w eo N
감자	g a M j a
감정	g a M j eo NG
감찰관	g a M ch a L g w a N
감청	g a M ch eo NG
감추	g a M ch u
감축	g a M ch u K
감춘	g a M ch u N
감출	g a M ch u L
감췄	g a M ch w eo T
감탄	g a M t a N
감퇴	g a M t w e
감행	g a M h e NG
감히	g a M h i
갑	g a P
갑각류	g a P kk a NG n y u
갑니다	g a M n i d a
갑시다	g a P ss i d a
갑자기	g a P jj a g i
갑작	g a P jj a K
갑작스런	g a P jj a K ss eu r eo N
갑작스럽	g a P jj a K ss eu r eo P
갑판	g a P p a N
값	g a P
값비싼	g a P pp i ss a N
값싸	g a P ss a
값싼	g a P ss a N
값진	g a P jj i N
갓	g a T
갔	g a T
갔었	g a ss eo T
갔으면	g a ss eu m y eo N
강	g a NG
강가	g a NG kk a
강간	g a NG kk a N
강경	g a NG g y eo NG
강경파	g a NG g y eo NG p a
강고	g a NG g o
강공	g a NG g o NG
강구	g a NG g u
강국	g a NG g u K
강남	g a NG n a M
강남구	g a NG n a M g u
강남역	g a NG n a M n y eo K
강당	g a NG d a NG
강대국	g a NG d e g u K
강도	g a NG d o
강도높게	g a NG d o n o P kk e
강력	g a NG n y eo K
강력부	g a NG n y eo K pp u
강력히	g a NG n y eo k i
강렬	g a NG n y eo L
강령	g a NG n y eo NG
강릉	g a NG n eu NG
강릉시	g a NG n eu NG s i
강모	g a NG m o
강물	g a NG m u L
강박	g a NG b a K
강변	g a NG b y eo N
강북	g a NG b u K
강북구	g a NG b u K kk u
강사	g a NG s a
강서	g a NG s eo
강서구	g a NG s eo g u
강성	g a NG s eo NG
강세	g a NG s e
강수	g a NG s u
강수량	g a NG s u r y a NG
강습	g a NG s eu P
강신명	g a NG s i N m y eo NG
강아지	g a NG a j i
강연	g a NG n y eo N
강연회	g a NG n y eo N h w e
강요	g a NG n y o
강용석	g a NG n y o NG s eo K
강원	g a NG w eo N
강원도	g a NG w eo N d o
강원도지사	g a NG w eo N d o j i s a
강의	g a NG eu i
강의식	g a NG eu i s i K
강의실	g a NG eu i s i L
강일원	g a NG i r w eo N
강장제	g a NG j a NG j e
강점	g a NG j eo M
강정	g a NG j eo NG
강제	g a NG j e
강제력	g a NG j e r y eo K
강조	g a NG j o
강좌	g a NG j w a
강직	g a NG j i K
강진	g a NG j i N
강철	g a NG ch eo L
강철웅	g a NG ch eo r u NG
강추	g a NG ch u
강타자	g a NG t a j a
강퇴	g a NG t w e
강풍	g a NG p u NG
강하	g a NG h a
강한	g a NG h a N
강해	g a NG h e
강해서	g a NG h e s eo
강해요	g a NG h e y o
강했	g a NG h e T
강행	g a NG h e NG
강행군	g a NG h e NG g u N
강현민	g a NG h y eo N m i N
강호동	g a NG h o d o NG
강화	g a NG h w a
갖	g a T
갖가지	g a T kk a j i
갖추	g a T ch u
갖춘	g a T ch u N
갖출	g a T ch u L
갖춰	g a T ch w eo
갖춰야	g a T ch w eo y a
갖춰져	g a T ch w eo j y eo
갖춰진	g a T ch w eo j i N
갖췄	g a T ch w eo T
같	g a T
같이	g a ch i
갚	g a P
개	g e
개각	g e g a K
개개인	g e g e i N
개관	g e g w a N
개교	g e g y o
개구리	g e g u r i
개국	g e g u K
개그	g e g eu
개년	g e n y eo N
개념	g e n y eo M
개당	g e d a NG
개도국	g e d o g u K
개똥	g e tt o NG
개량	g e r y a NG
개막	g e m a K
개명	g e m y eo NG
개미	g e m i
개미집	g e m i j i P
개발	g e b a L
개발제한구역	g e b a L j e h a N g u y eo K
개방	g e b a NG
개별	g e b y eo L
개봉	g e b o NG
개사	g e s a
개선	g e s eo N
개선책	g e s eo N ch e K
개설	g e s eo L
개성	g e s eo NG
개소	g e s o
개시	g e s i
개신교	g e s i N kk y o
개업	g e eo P
개연	g e y eo N
개울	g e u L
개원	g e w eo N
개월	g e w eo L
개위	g e w i
개인	g e i N
개인사	g e i N s a
개인주의	g e i N j u eu i
개인택시	g e i N t e K ss i
개입	g e i P
개장	g e j a NG
개점	g e j eo M
개정	g e j eo NG
개정안	g e j eo NG a N
개조	g e j o
개종	g e j o NG
개주	g e j u
개진	g e j i N
개척	g e ch eo K
개천	g e ch eo N
개최	g e ch w e
개칭	g e ch i NG
개탄	g e t a N
개토	g e t o
개통	g e t o NG
개판	g e p a N
개편	g e p y eo N
개표	g e p y o
개함	g e h a M
개헌	g e h eo N
개헌안	g e h eo n a N
개혁	g e h y eo K
개혁파	g e h y eo K p a
객가	g e K kk a
객관	g e K kk w a N
객실	g e K ss i L
갠	g e N
갤	g e L
갤러리	g e L r eo r i
갤럭시	g e L r eo K ss i
갯	g e T
갯벌	g e T pp eo L
갱	g e NG
걍	g y a NG
걔	g y e
거	g eo
거국	g eo g u K
거기	g eo g i
거꾸로	g eo kk u r o
거나	g eo n a
거느리	g eo n eu r i
거니	g eo n i
거대	g eo d e
거두	g eo d u
거둔	g eo d u N
거둔다	g eo d u N d a
거둔다면	g eo d u N d a m y eo N
거둘	g eo d u L
거둬	g eo d w eo
거뒀	g eo d w eo T
거든	g eo d eu N
거든요	g eo d eu N n y o
거들	g eo d eu L
거듭	g eo d eu P
거라	g eo r a
거래	g eo r e
거래량	g eo r e r y a NG
거래법	g eo r e b eo P
거래선	g eo r e s eo N
거래소	g eo r e s o
거론	g eo r o N
거룩	g eo r u K
거르	g eo r eu
거리	g eo r i
거만	g eo m a N
거머쥐	g eo m eo j w i
거명	g eo m y eo NG
거미	g eo m i
거미줄	g eo m i j u L
거부	g eo b u
거북	g eo b u K
거세	g eo s e
거센	g eo s e N
거셉니다	g eo s e M n i d a
거셨	g eo s y eo T
거스르	g eo s eu r eu
거스른	g eo s eu r eu N
거스름돈	g eo s eu r eu M d o N
거슬러	g eo s eu L r eo
거시경제	g eo s i g y eo NG j e
거식증	g eo s i K jj eu NG
거신	g eo s i N
거실	g eo s i L
거액	g eo e K
거울	g eo u L
거위	g eo w i
거의	g eo eu i
거장	g eo j a NG
거절	g eo j eo L
거점	g eo j eo M
거제	g eo j e
거제시	g eo j e s i
거져	g eo j y eo
거주	g eo j u
거주자	g eo j u j a
거주지	g eo j u j i
거지	g eo j i
거짓	g eo j i T
거짓말	g eo j i N m a L
거창	g eo ch a NG
거처	g eo ch eo
거쳐	g eo ch y eo
거쳐서	g eo ch y eo s eo
거쳐야	g eo ch y eo y a
거쳤	g eo ch y eo T
거취	g eo ch w i
거치	g eo ch i
거친	g eo ch i N
거칠	g eo ch i L
거침없이	g eo ch i m eo P ss i
거품	g eo p u M
거행	g eo h e NG
걱정	g eo K jj eo NG
건	g eo N
건가	g eo N g a
건가요	g eo N g a y o
건강	g eo N g a NG
건교부	g eo N g y o b u
건국	g eo N g u K
건국대	g eo N g u K tt e
건내주	g eo N n e j u
건너	g eo N n eo
건너가	g eo N n eo g a
건너편	g eo N n eo p y eo N
건넌	g eo N n eo N
건널	g eo N n eo L
건네	g eo N n e
건넨	g eo N n e N
건넨다	g eo N n e N d a
건대	g eo N d e
건데	g eo N d e
건데요	g eo N d e y o
건드리	g eo N d eu r i
건립	g eo L r i P
건물	g eo N m u L
건배	g eo N b e
건보	g eo N b o
건설	g eo N s eo L
건설사	g eo N s eo L s a
건설업	g eo N s eo r eo P
건수	g eo N s u
건영	g eo N n y eo NG
건의	g eo n eu i
건전	g eo N j eo N
건졌	g eo N j y eo T
건조	g eo N j o
건지	g eo N j i
건진	g eo N j i N
건축	g eo N ch u K
건축물	g eo N ch u NG m u L
건폐율	g eo N p y e y u L
건희	g eo N h eu i
걷	g eo T
걷어차	g eo d eo ch a
걷잡	g eo T jj a P
걸	g eo L
걸까	g eo L kk a
걸레질	g eo L r e j i L
걸려	g eo L r y eo
걸려서	g eo L r y eo s eo
걸려요	g eo L r y eo y o
걸렸	g eo L r y eo T
걸로	g eo L r o
걸리	g eo L r i
걸린	g eo L r i N
걸린다	g eo L r i N d a
걸릴	g eo L r i L
걸림돌	g eo L r i M d o L
걸립니다	g eo L r i M n i d a
걸맞	g eo L m a T
걸어가	g eo r eo g a
걸어서	g eo r eo s eo
걸어야	g eo r eo y a
걸어온	g eo r eo o N
걸어왔	g eo r eo w a T
걸요	g eo L r y o
걸으며	g eo r eu m y eo
걸으면서	g eo r eu m y eo N s eo
걸음	g eo r eu M
걸음걸이	g eo r eu M g eo r i
걸쳐	g eo L ch y eo
걸쳤	g eo L ch y eo T
걸친	g eo L ch i N
걸프	g eo L p eu
걸프만	g eo L p eu m a N
검	g eo M
검거	g eo M g eo
검문	g eo M m u N
검문소	g eo M m u N s o
검붉	g eo M b u K
검사	g eo M s a
검사장	g eo M s a j a NG
검사제	g eo M s a j e
검색	g eo M s e K
검소	g eo M s o
검열	g eo M n y eo L
검은색	g eo m eu N ss e K
검인정	g eo m i N j eo NG
검장	g eo M j a NG
검정	g eo M j eo NG
검증	g eo M j eu NG
검진	g eo M j i N
검찰	g eo M ch a L
검출	g eo M ch u L
검토	g eo M t o
겁	g eo P
겁나	g eo M n a
겁니까	g eo M n i kk a
겁니다	g eo M n i d a
겁박	g eo P pp a K
것	g eo T
겄	g eo T
겉	g eo T
겉돌	g eo T tt o L
게	g e
게끔	g e kk eu M
게나	g e n a
게놈	g e n o M
게다가	g e d a g a
게리맨더링	g e r i m e N d eo r i NG
게릴라	g e r i L r a
게스트	g e s eu t eu
게시판	g e s i p a N
게요	g e y o
게으른	g e eu r eu N
게을리	g e eu L r i
게이고	g e i g o
게이츠	g e i ch eu
게이트	g e i t eu
게임	g e i M
게임방	g e i M b a NG
게재	g e j e
겐	g e N
겐나디	g e N n a d i
겔	g e L
겔라	g e L r a
겟	g e T
겠	g e T
겠다	g e T tt a
겠다며	g e T tt a m y eo
겠어	g e ss eo
겠죠	g e T jj y o
겨	g y eo
겨냥	g y eo n y a NG
겨누	g y eo n u
겨눈	g y eo n u N
겨드랑	g y eo d eu r a NG
겨레	g y eo r e
겨루	g y eo r u
겨루기	g y eo r u g i
겨우	g y eo u
겨울	g y eo u L
겨울맞이	g y eo u L m a j i
겨울철	g y eo u L ch eo L
격	g y eo K
격감	g y eo K kk a M
격돌	g y eo K tt o L
격려	g y eo NG n y eo
격렬	g y eo NG n y eo L
격론	g y eo NG n o N
격리	g y eo NG n i
격분	g y eo K pp u N
격상	g y eo K ss a NG
격차	g y eo K ch a
격추	g y eo K ch u
격파	g y eo K p a
격해	g y eo k e
격해진	g y eo k e j i N
격화	g y eo k w a
겪	g y eo K
견	g y eo N
견강부회	g y eo N g a NG b u h w e
견뎌	g y eo N d y eo
견디	g y eo N d i
견딜	g y eo N d i L
견인	g y eo n i N
견적	g y eo N j eo K
견제	g y eo N j e
견학	g y eo N h a K
견해	g y eo N h e
결	g y eo L
결과	g y eo L g w a
결과물	g y eo L g w a m u L
결국	g y eo L g u K
결근	g y eo L g eu N
결단	g y eo L d a N
결론	g y eo L r o N
결말	g y eo L m a L
결백	g y eo L b e K
결별	g y eo L b y eo L
결부	g y eo L b u
결빙	g y eo L b i NG
결사	g y eo L s a
결산	g y eo L s a N
결석	g y eo L s eo K
결선	g y eo L s eo N
결성	g y eo L s eo NG
결속	g y eo L ss o K
결승	g y eo L s eu NG
결실	g y eo L s i L
결심	g y eo L s i M
결여	g y eo L r y eo
결의	g y eo r eu i
결의안	g y eo r eu i a N
결재	g y eo L j e
결점	g y eo L j eo M
결정	g y eo L j eo NG
결정짓	g y eo L j eo NG j i T
결정판	g y eo L j eo NG p a N
결제	g y eo L j e
결집	g y eo L j i P
결코	g y eo L k o
결탁	g y eo L t a K
결함	g y eo L h a M
결합	g y eo L h a P
결행	g y eo L h e NG
결혼	g y eo L h o N
결혼기념일	g y eo L h o N g i n y eo m i L
결혼식	g y eo L h o N s i K
겸	g y eo M
겸손	g y eo M s o N
겸임	g y eo m i M
겸직	g y eo M j i K
겸해	g y eo M h e
겸허	g y eo M h eo
겹겹	g y eo P kk y eo P
겹쳐	g y eo P ch y eo
겹치	g y eo P ch i
경	g y eo NG
경각심	g y eo NG g a K ss i M
경감	g y eo NG g a M
경계	g y eo NG g y e
경계심	g y eo NG g y e s i M
경고	g y eo NG g o
경과	g y eo NG g w a
경관	g y eo NG g w a N
경기	g y eo NG g i
경기도	g y eo NG g i d o
경기장	g y eo NG g i j a NG
경남	g y eo NG n a M
경남기업	g y eo NG n a M g i eo P
경내	g y eo NG n e
경대	g y eo NG d e
경력	g y eo NG n y eo K
경력자	g y eo NG n y eo K jj a
경로	g y eo NG n o
경륜	g y eo NG n y u N
경리	g y eo NG n i
경매	g y eo NG m e
경무관	g y eo NG m u g w a N
경복	g y eo NG b o K
경복궁	g y eo NG b o K kk u NG
경부고속도로	g y eo NG b u g o s o K tt o r o
경북	g y eo NG b u K
경비	g y eo NG b i
경비병	g y eo NG b i b y eo NG
경비실	g y eo NG b i s i L
경비원	g y eo NG b i w eo N
경사	g y eo NG s a
경산	g y eo NG s a N
경상	g y eo NG s a NG
경색	g y eo NG s e K
경선	g y eo NG s eo N
경솔	g y eo NG s o L
경수로	g y eo NG s u r o
경신	g y eo NG s i N
경실련	g y eo NG s i L r y eo N
경영	g y eo NG n y eo NG
경영계	g y eo NG n y eo NG g y e
경영난	g y eo NG n y eo NG n a N
경영인	g y eo NG n y eo NG i N
경영자	g y eo NG n y eo NG j a
경영진	g y eo NG n y eo NG j i N
경영학	g y eo NG n y eo NG h a K
경외	g y eo NG w e
경외심	g y eo NG w e s i M
경우	g y eo NG u
경원	g y eo NG w eo N
경위	g y eo NG w i
경유	g y eo NG n y u
경이	g y eo NG i
경인	g y eo NG i N
경작	g y eo NG j a K
경작지	g y eo NG j a K jj i
경장	g y eo NG j a NG
경재	g y eo NG j e
경쟁	g y eo NG j e NG
경쟁국	g y eo NG j e NG g u K
경쟁력	g y eo NG j e NG n y eo K
경쟁사	g y eo NG j e NG s a
경쟁자	g y eo NG j e NG j a
경적	g y eo NG j eo K
경정	g y eo NG j eo NG
경제	g y eo NG j e
경제난	g y eo NG j e n a N
경제력	g y eo NG j e r y eo K
경제사	g y eo NG j e s a
경제성장	g y eo NG j e s eo NG j a NG
경제학	g y eo NG j e h a K
경제학자	g y eo NG j e h a K jj a
경제활동인구	g y eo NG j e h w a L d o NG i N g u
경조사	g y eo NG j o s a
경주	g y eo NG j u
경직	g y eo NG j i K
경질	g y eo NG j i L
